ma_truong,ten_truong,viet_tat,tinh_thanh,vung_mien
TTH,Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,,Khánh Hòa,Miền Trung
TGH,Trường Sĩ Quan Tăng - Thiết Giáp,MCTAO,Phú Thọ,Miền Bắc
DCH,Trường Sĩ Quan Đặc Công,OVSF,Hà Nội,Miền Bắc
DDY,Trường Y Dược Đà Nẵng,SMP,Đà Nẵng,Miền Trung
QSA,Trường Đại Học An Giang,AGU,An Giang,Miền Nam
ANS,Trường Đại Học An Ninh Nhân Dân,VPSU,TP Hồ Chí Minh,Miền Nam
BVU,Trường Đại Học Bà Rịa – Vũng Tàu,BVU,TP Hồ Chí Minh,Miền Nam
QSB,Trường Đại Học Bách Khoa HCM,HCMUT,TP Hồ Chí Minh,Miền Nam
DDK,Trường Đại Học Bách Khoa Đà Nẵng,DUT,Đà Nẵng,Miền Trung
DBD,Trường Đại Học Bình Dương,BDU,TP Hồ Chí Minh,Miền Nam
DBL,Trường Đại Học Bạc Liêu,BLU,Cà Mau,Miền Nam
CMC,Trường Đại Học CMC,CMC,Hà Nội,Miền Bắc
DDM,Trường Đại Học Công Nghiệp Quảng Ninh,QUI,Quảng Ninh,Miền Bắc
IUH,Trường Đại Học Công Nghiệp TPHCM,IUH,TP Hồ Chí Minh,Miền Nam
VHD,Trường Đại Học Công Nghiệp Việt - Hung,VIU,Hà Nội,Miền Bắc
VUI,Trường Đại Học Công Nghiệp Việt Trì,VUI,Phú Thọ,Miền Bắc
DSG,Trường Đại Học Công Nghệ Sài Gòn,STU,TP Hồ Chí Minh,Miền Nam
QSC,Trường Đại Học Công Nghệ Thông Tin - ĐHQG TPHCM,UIT,TP Hồ Chí Minh,Miền Nam
DVX,Trường Đại Học Công Nghệ Vạn Xuân,VXUT,Nghệ An,Miền Trung
DCQ,Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,UTM,Hà Nội,Miền Bắc
DDA,Trường Đại Học Công Nghệ Đông Á,EAUT,Bắc Ninh,Miền Bắc
DCD,Trường Đại Học Công Nghệ Đồng Nai,DNTU,Đồng Nai,Miền Nam
QHI,Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,UET,Hà Nội,Miền Bắc
DCT,Trường Đại Học Công Thương TPHCM,HUIT,TP Hồ Chí Minh,Miền Nam
SPK,Trường Đại Học Công nghệ Kỹ thuật TP HCM,HCMUTE,TP Hồ Chí Minh,Miền Nam
LDA,Trường Đại Học Công Đoàn,TUU,Hà Nội,Miền Bắc
CSS,Trường Đại Học Cảnh Sát Nhân Dân,PPU,TP Hồ Chí Minh,Miền Nam
DCL,Trường Đại Học Cửu Long,MKU,Vĩnh Long,Miền Nam
DKH,Trường Đại Học Dược Hà Nội,HUP,Hà Nội,Miền Bắc
PVU,Trường Đại Học Dầu Khí Việt Nam,PVU,TP Hồ Chí Minh,Miền Nam
FPT,Trường Đại Học FPT,FPT,Hà Nội,Miền Bắc
GDU,Trường Đại Học Gia Định,GDU,TP Hồ Chí Minh,Miền Nam
GHA,Trường Đại Học Giao Thông Vận Tải,UTC,Hà Nội,Miền Bắc
GSA,Trường Đại Học Giao Thông Vận Tải (Cơ sở 2),UTC2,TP Hồ Chí Minh,Miền Nam
UTH,Trường Đại Học Giao Thông Vận Tải TPHCM,UTH,TP Hồ Chí Minh,Miền Nam
QHS,Trường Đại Học Giáo Dục - ĐHQG Hà Nội,UED,Hà Nội,Miền Bắc
DNB,Trường Đại Học Hoa Lư,HLUV,Ninh Bình,Miền Bắc
HSU,Trường Đại Học Hoa Sen,HSU,TP Hồ Chí Minh,Miền Nam
NHF,Trường Đại Học Hà Nội,HANU,Hà Nội,Miền Bắc
HHT,Trường Đại Học Hà Tĩnh,HTU,Hà Tĩnh,Miền Trung
HHA,Trường Đại Học Hàng Hải Việt Nam,VMU,Hải Phòng,Miền Bắc
ETU,Trường Đại Học Hòa Bình,ETU,Hà Nội,Miền Bắc
THV,Trường Đại Học Hùng Vương,HVU,Phú Thọ,Miền Bắc
HLU,Trường Đại Học Hạ Long,UHL,Quảng Ninh,Miền Bắc
DKT,Trường Đại Học Hải Dương,UHD,Hải Phòng,Miền Bắc
THP,Trường Đại Học Hải Phòng,HPUni,Hải Phòng,Miền Bắc
HDT,Trường Đại Học Hồng Đức,HDU,Thanh Hóa,Miền Trung
DHT,Trường Đại Học Khoa Học Huế,HUSC,Huế,Miền Trung
DTZ,Trường Đại Học Khoa Học Thái Nguyên,TNUS,Thái Nguyên,Miền Bắc
QHT,Trường Đại Học Khoa Học Tự Nhiên Hà Nội,HUS,Hà Nội,Miền Bắc
QST,Trường Đại Học Khoa Học Tự Nhiên TPHCM,HCMUS,TP Hồ Chí Minh,Miền Nam
KCN,Trường Đại Học Khoa Học Và Công Nghệ Hà Nội,USTH,Hà Nội,Miền Bắc
QHX,Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,USSH,Hà Nội,Miền Bắc
QSX,Trường Đại Học Khoa Học Xã Hội và Nhân Văn TPHCM,USSH,TP Hồ Chí Minh,Miền Nam
UKB,Trường Đại Học Kinh Bắc,UKB,Bắc Ninh,Miền Bắc
DQK,Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,HUBT,Hà Nội,Miền Bắc
QHE,Trường Đại Học Kinh Tế - ĐHQG Hà Nội,UEB,Hà Nội,Miền Bắc
DHK,Trường Đại Học Kinh Tế - Đại Học Huế,HCE,Huế,Miền Trung
DLA,Trường Đại Học Kinh Tế Công Nghiệp Long An,,Tây Ninh,Miền Nam
DKB,Trường Đại Học Kinh Tế Kỹ Thuật Bình Dương,BETU,TP Hồ Chí Minh,Miền Nam
DKK,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,UNETI,Hà Nội,Miền Bắc
UEF,Trường Đại Học Kinh Tế Tài Chính TPHCM,UEF,TP Hồ Chí Minh,Miền Nam
DDQ,Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,DUE,Đà Nẵng,Miền Trung
DVB,Trường Đại Học Kinh tế công nghệ Thái Nguyên,TUETECH,Thái Nguyên,Miền Bắc
KTA,Trường Đại Học Kiến Trúc Hà Nội,HAU,Hà Nội,Miền Bắc
KTS,Trường Đại Học Kiến Trúc TPHCM,UAH,TP Hồ Chí Minh,Miền Nam
KTD,Trường Đại Học Kiến Trúc Đà Nẵng,DAU,Đà Nẵng,Miền Trung
DTK,Trường Đại Học Kỹ Thuật Công Nghiệp Thái Nguyên,TNUT,Thái Nguyên,Miền Bắc
DKY,Trường Đại Học Kỹ Thuật Y Tế Hải Dương,HMTU,Hải Phòng,Miền Bắc
DLX,Trường Đại Học Lao Động – Xã Hội,ULSA,Hà Nội,Miền Bắc
DLS,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),ULSA2,TP Hồ Chí Minh,Miền Nam
LPH,Trường Đại Học Luật Hà Nội,HLU,Hà Nội,Miền Bắc
LPS,Trường Đại Học Luật TPHCM,ULAW,TP Hồ Chí Minh,Miền Nam
LNH,Trường Đại Học Lâm nghiệp,VNUF,Hà Nội,Miền Bắc
DTV,Trường Đại Học Lương Thế Vinh,LTVU,Ninh Bình,Miền Bắc
DLH,Trường Đại Học Lạc Hồng,LHU,Đồng Nai,Miền Nam
MDA,Trường Đại Học Mỏ Địa Chất,HUMG,Hà Nội,Miền Bắc
MHN,Trường Đại Học Mở Hà Nội,HOU,Hà Nội,Miền Bắc
MBS,Trường Đại Học Mở TPHCM,OU,TP Hồ Chí Minh,Miền Nam
MTC,Trường Đại Học Mỹ Thuật Công Nghiệp,UAD,Hà Nội,Miền Bắc
MTH,Trường Đại Học Mỹ Thuật Việt Nam,VNUFA,Hà Nội,Miền Bắc
DHN,Trường Đại Học Nghệ Thuật Huế,HUA,Huế,Miền Trung
QHF,Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,ULIS,Hà Nội,Miền Bắc
DHF,Trường Đại Học Ngoại Ngữ Huế,HUFLIS,Huế,Miền Trung
DNT,Trường Đại Học Ngoại Ngữ Tin Học TPHCM,HUFLIT,TP Hồ Chí Minh,Miền Nam
DDF,Trường Đại Học Ngoại Ngữ Đà Nẵng,UFL,Đà Nẵng,Miền Trung
NTU,Trường Đại Học Nguyễn Trãi,NTU,Hà Nội,Miền Bắc
NTT,Trường Đại Học Nguyễn Tất Thành,NTTU,TP Hồ Chí Minh,Miền Nam
NHS,Trường Đại Học Ngân Hàng TPHCM,HUB,TP Hồ Chí Minh,Miền Nam
TSN,Trường Đại Học Nha Trang,NTU,Khánh Hòa,Miền Trung
DHL,Trường Đại Học Nông Lâm Huế,HUAF,Huế,Miền Trung
NLS,Trường Đại Học Nông Lâm TPHCM,NLU,TP Hồ Chí Minh,Miền Nam
DTN,Trường Đại Học Nông Lâm Thái Nguyên,TUAF,Thái Nguyên,Miền Bắc
DPC,Trường Đại Học Phan Châu Trinh,PCTU,Đà Nẵng,Miền Trung
DPT,Trường Đại Học Phan Thiết,UPT,Lâm Đồng,Miền Trung
PCS,Trường Đại Học Phòng Cháy Chữa Cháy (phía Nam),,TP Hồ Chí Minh,Miền Nam
