ma_to_hop,ten_to_hop,cac_mon,nguon
A00,"Toán, Vật lý, Hóa học","TOAN,LI,HOA",BoGD2025
A01,"Toán, Vật lý, Tiếng Anh","TOAN,LI,ANH",BoGD2025
A02,"Toán, Vật lý, Sinh học","TOAN,LI,SINH",BoGD2025
A03,"Toán, Vật lý, Lịch sử","TOAN,LI,SU",BoGD2025
A04,"Toán, Vật lý, Địa lý","TOAN,LI,DIA",BoGD2025
A05,"Toán, Hóa học, Lịch sử","TOAN,HOA,SU",BoGD2025
A06,"Toán, Hóa học, Địa lý","TOAN,HOA,DIA",BoGD2025
A07,"Toán, Lịch sử, Địa lý","TOAN,SU,DIA",BoGD2025
A08,"Toán, Lịch sử, Giáo dục công dân","TOAN,SU,GDCD",BoGD2025
A09,"Toán, Địa lý, Giáo dục công dân","TOAN,DIA,GDCD",BoGD2025
A10,"Toán, Vật lý, Giáo dục công dân","TOAN,LI,GDCD",BoGD2025
A11,"Toán, Hoá học, Giáo dục công dân","TOAN,HOA,GDCD",BoGD2025
A12,"Toán, Khoa học tự nhiên, Khoa học xã hội","TOAN,KHTN,KHXH",BoGD2025
A13,"Toán, Khoa học tự nhiên, Lịch sử","TOAN,KHTN,SU",BoGD2025
A14,"Toán, Khoa học tự nhiên, Địa lý","TOAN,KHTN,DIA",BoGD2025
A15,"Toán, Khoa học tự nhiên, Giáo dục công dân","TOAN,KHTN,GDCD",BoGD2025
A16,"Toán, Khoa học tự nhiên, Ngữ văn","TOAN,KHTN,VAN",BoGD2025
A17,"Toán, Vật lý, Khoa học xã hội","TOAN,LI,KHXH",BoGD2025
A18,"Toán, Hoá học, Khoa học xã hội","TOAN,HOA,KHXH",BoGD2025
B00,"Toán, Hóa học, Sinh học","TOAN,HOA,SINH",BoGD2025
B01,"Toán, Sinh học, Lịch sử","TOAN,SINH,SU",BoGD2025
B02,"Toán, Sinh học, Địa lý","TOAN,SINH,DIA",BoGD2025
B03,"Toán, Sinh học, Ngữ văn","TOAN,SINH,VAN",BoGD2025
B04,"Toán, Sinh học, Giáo dục công dân","TOAN,SINH,GDCD",BoGD2025
B05,"Toán, Sinh học, Khoa học xã hội","TOAN,SINH,KHXH",BoGD2025
B08,"Toán, Sinh học, Tiếng Anh","TOAN,SINH,ANH",BoGD2025
C00,"Ngữ văn, Lịch sử, Địa lý","VAN,SU,DIA",BoGD2025
C01,"Ngữ văn, Toán, Vật lý","VAN,TOAN,LI",BoGD2025
C02,"Ngữ văn, Toán, Hóa học","VAN,TOAN,HOA",BoGD2025
C03,"Ngữ văn, Toán, Lịch sử","VAN,TOAN,SU",BoGD2025
C04,"Ngữ văn, Toán, Địa lý","VAN,TOAN,DIA",BoGD2025
C05,"Ngữ văn, Vật lý, Hóa học","VAN,LI,HOA",BoGD2025
C06,"Ngữ văn, Vật lý, Sinh học","VAN,LI,SINH",BoGD2025
C07,"Ngữ văn, Vật lý, Lịch sử","VAN,LI,SU",BoGD2025
C08,"Ngữ văn, Hóa học, Sinh học","VAN,HOA,SINH",BoGD2025
C09,"Ngữ văn, Vật lý, Địa lý","VAN,LI,DIA",BoGD2025
C10,"Ngữ văn, Hóa học, Lịch sử","VAN,HOA,SU",BoGD2025
C11,"Ngữ văn, Hóa học, Địa lý","VAN,HOA,DIA",BoGD2025
C12,"Ngữ văn, Sinh học, Lịch sử","VAN,SINH,SU",BoGD2025
C13,"Ngữ văn, Sinh học, Địa lý","VAN,SINH,DIA",BoGD2025
C14,"Ngữ văn, Toán, Giáo dục công dân","VAN,TOAN,GDCD",BoGD2025
C15,"Ngữ văn, Toán, Khoa học xã hội","VAN,TOAN,KHXH",BoGD2025
C16,"Ngữ văn, Vật lý, Giáo dục công dân","VAN,LI,GDCD",BoGD2025
C17,"Ngữ văn, Hóa học, Giáo dục công dân","VAN,HOA,GDCD",BoGD2025
C18,"Ngữ văn, Sinh học, Giáo dục công dân","VAN,SINH,GDCD",BoGD2025
C19,"Ngữ văn, Lịch sử, Giáo dục công dân","VAN,SU,GDCD",BoGD2025
C20,"Ngữ văn, Địa lý, Giáo dục công dân","VAN,DIA,GDCD",BoGD2025
C21,"Ngữ văn, Khoa học tự nhiên, Khoa học xã hôi","VAN,KHTN,KHXH",BoGD2025
C22,"Ngữ văn, Địa lý, Khoa học tự nhiên","VAN,DIA,KHTN",BoGD2025
C23,"Ngữ văn, Giáo dục công dân, Khoa học tự nhiên","VAN,GDCD,KHTN",BoGD2025
C24,"Ngữ văn, Khoa học xã hội, Vật lý","VAN,KHXH,LI",BoGD2025
C25,"Ngữ văn, Khoa học xã hội, Hoá học","VAN,KHXH,HOA",BoGD2025
C26,"Ngữ văn, Khoa học xã hội, Sinh học","VAN,KHXH,SINH",BoGD2025
D01,"Ngữ văn, Toán, Tiếng Anh","VAN,TOAN,ANH",BoGD2025
D02,"Ngữ văn, Toán, Tiếng Nga","VAN,TOAN,NGA",BoGD2025
D03,"Ngữ văn, Toán, Tiếng Pháp","VAN,TOAN,PHAP",BoGD2025
D04,"Ngữ văn, Toán, Tiếng Trung","VAN,TOAN,TRUNG",BoGD2025
D05,"Ngữ văn, Toán, Tiếng Đức","VAN,TOAN,DUC",BoGD2025
D06,"Ngữ văn, Toán, Tiếng Nhật","VAN,TOAN,NHAT",BoGD2025
D07,"Toán, Hóa học, Tiếng Anh","TOAN,HOA,ANH",BoGD2025
D08,"Toán, Sinh học, Tiếng Anh","TOAN,SINH,ANH",BoGD2025
D09,"Toán, Lịch sử, Tiếng Anh","TOAN,SU,ANH",BoGD2025
D10,"Toán, Địa lý, Tiếng Anh","TOAN,DIA,ANH",BoGD2025
D11,"Ngữ văn, Vật lý, Tiếng Anh","VAN,LI,ANH",BoGD2025
D12,"Ngữ văn, Hóa học, Tiếng Anh","VAN,HOA,ANH",BoGD2025
D13,"Ngữ văn, Sinh học, Tiếng Anh","VAN,SINH,ANH",BoGD2025
D14,"Ngữ văn, Lịch sử, Tiếng Anh","VAN,SU,ANH",BoGD2025
D15,"Ngữ văn, Địa lý, Tiếng Anh","VAN,DIA,ANH",BoGD2025
D16,"Toán, Địa lý, Tiếng Đức","TOAN,DIA,DUC",BoGD2025
D17,"Toán, Địa lý, Tiếng Nga","TOAN,DIA,NGA",BoGD2025
D18,"Toán, Địa lý, Tiếng Nhật","TOAN,DIA,NHAT",BoGD2025
D19,"Toán, Địa lý, Tiếng Pháp","TOAN,DIA,PHAP",BoGD2025
D20,"Toán, Địa lý, Tiếng Trung","TOAN,DIA,TRUNG",BoGD2025
D21,"Toán, Hóa học, Tiếng Đức","TOAN,HOA,DUC",BoGD2025
D22,"Toán, Hóa học, Tiếng Nga","TOAN,HOA,NGA",BoGD2025
D23,"Toán, Hóa học, Tiếng Nhật","TOAN,HOA,NHAT",BoGD2025
D24,"Toán, Hóa học, Tiếng Pháp","TOAN,HOA,PHAP",BoGD2025
D25,"Toán, Hóa học, Tiếng Trung","TOAN,HOA,TRUNG",BoGD2025
D26,"Toán, Vật lý, Tiếng Đức","TOAN,LI,DUC",BoGD2025
D27,"Toán, Vật lý, Tiếng Nga","TOAN,LI,NGA",BoGD2025
D28,"Toán, Vật lý, Tiếng Nhật","TOAN,LI,NHAT",BoGD2025
D29,"Toán, Vật lý, Tiếng Pháp","TOAN,LI,PHAP",BoGD2025
D30,"Toán, Vật lý, Tiếng Trung","TOAN,LI,TRUNG",BoGD2025
D31,"Toán, Sinh học, Tiếng Đức","TOAN,SINH,DUC",BoGD2025
D32,"Toán, Sinh học, Tiếng Nga","TOAN,SINH,NGA",BoGD2025
D33,"Toán, Sinh học, Tiếng Nhật","TOAN,SINH,NHAT",BoGD2025
D34,"Toán, Sinh học, Tiếng Pháp","TOAN,SINH,PHAP",BoGD2025
D35,"Toán, Sinh học, Tiếng Trung","TOAN,SINH,TRUNG",BoGD2025
D36,"Toán, Lịch sử, Tiếng Đức","TOAN,SU,DUC",BoGD2025
D37,"Toán, Lịch sử, Tiếng Nga","TOAN,SU,NGA",BoGD2025
D38,"Toán, Lịch sử, Tiếng Nhật","TOAN,SU,NHAT",BoGD2025
D39,"Toán, Lịch sử, Tiếng Pháp","TOAN,SU,PHAP",BoGD2025
D40,"Toán, Lịch sử, Tiếng Trung","TOAN,SU,TRUNG",BoGD2025
D41,"Ngữ văn, Địa lý, Tiếng Đức","VAN,DIA,DUC",BoGD2025
D42,"Ngữ văn, Địa lý, Tiếng Nga","VAN,DIA,NGA",BoGD2025
D43,"Ngữ văn, Địa lý, Tiếng Nhật","VAN,DIA,NHAT",BoGD2025
D44,"Ngữ văn, Địa lý, Tiếng Pháp","VAN,DIA,PHAP",BoGD2025
D45,"Ngữ văn, Địa lý, Tiếng Trung","VAN,DIA,TRUNG",BoGD2025
D46,"Ngữ văn, Hóa học, Tiếng Đức","VAN,HOA,DUC",BoGD2025
D47,"Ngữ văn, Hóa học, Tiếng Nga","VAN,HOA,NGA",BoGD2025
D48,"Ngữ văn, Hóa học, Tiếng Nhật","VAN,HOA,NHAT",BoGD2025
D49,"Ngữ văn, Hóa học, Tiếng Pháp","VAN,HOA,PHAP",BoGD2025
D50,"Ngữ văn, Hóa học, Tiếng Trung","VAN,HOA,TRUNG",BoGD2025
D51,"Ngữ văn, Vật lý, Tiếng Đức","VAN,LI,DUC",BoGD2025
D52,"Ngữ văn, Vật lý, Tiếng Nga","VAN,LI,NGA",BoGD2025
D53,"Ngữ văn, Vật lý, Tiếng Nhật","VAN,LI,NHAT",BoGD2025
D54,"Ngữ văn, Vật lý, Tiếng Pháp","VAN,LI,PHAP",BoGD2025
D55,"Ngữ văn, Vật lý, Tiếng Trung","VAN,LI,TRUNG",BoGD2025
D56,"Ngữ văn, Sinh học, Tiếng Đức","VAN,SINH,DUC",BoGD2025
D57,"Ngữ văn, Sinh học, Tiếng Nga","VAN,SINH,NGA",BoGD2025
D58,"Ngữ văn, Sinh học, Tiếng Nhật","VAN,SINH,NHAT",BoGD2025
D59,"Ngữ văn, Sinh học, Tiếng Pháp","VAN,SINH,PHAP",BoGD2025
D60,"Ngữ văn, Sinh học, Tiếng Trung","VAN,SINH,TRUNG",BoGD2025
D61,"Ngữ văn, Lịch sử, Tiếng Đức","VAN,SU,DUC",BoGD2025
D62,"Ngữ văn, Lịch sử, Tiếng Nga","VAN,SU,NGA",BoGD2025
D63,"Ngữ văn, Lịch sử, Tiếng Nhật","VAN,SU,NHAT",BoGD2025
D64,"Ngữ văn, Lịch sử, Tiếng Pháp","VAN,SU,PHAP",BoGD2025
D65,"Ngữ văn, Lịch sử, Tiếng Trung","VAN,SU,TRUNG",BoGD2025
D66,"Ngữ văn, Giáo dục công dân, Tiếng Anh","VAN,GDCD,ANH",BoGD2025
D67,"Ngữ văn, Giáo dục công dân, Tiếng Đức","VAN,GDCD,DUC",BoGD2025
D68,"Ngữ văn, Giáo dục công dân, Tiếng Nga","VAN,GDCD,NGA",BoGD2025
D69,"Ngữ văn, Giáo dục công dân, Tiếng Nhật","VAN,GDCD,NHAT",BoGD2025
D70,"Ngữ văn, Giáo dục công dân, Tiếng Pháp","VAN,GDCD,PHAP",BoGD2025
D71,"Ngữ văn, Giáo dục công dân, Tiếng Trung","VAN,GDCD,TRUNG",BoGD2025
D72,"Ngữ văn, Khoa học tự nhiên, Tiếng Anh","VAN,KHTN,ANH",BoGD2025
D73,"Ngữ văn, Khoa học tự nhiên, Tiếng Đức","VAN,KHTN,DUC",BoGD2025
D74,"Ngữ văn, Khoa học tự nhiên, Tiếng Nga","VAN,KHTN,NGA",BoGD2025
D75,"Ngữ văn, Khoa học tự nhiên, Tiếng Nhật","VAN,KHTN,NHAT",BoGD2025
D76,"Ngữ văn, Khoa học tự nhiên, Tiếng Pháp","VAN,KHTN,PHAP",BoGD2025
D77,"Ngữ văn, Khoa học tự nhiên, Tiếng Trung","VAN,KHTN,TRUNG",BoGD2025
D78,"Ngữ văn, Khoa học xã hội, Tiếng Anh","VAN,KHXH,ANH",BoGD2025
D79,"Ngữ văn, Khoa học xã hội, Tiếng Đức","VAN,KHXH,DUC",BoGD2025
D80,"Ngữ văn, Khoa học xã hội, Tiếng Nga","VAN,KHXH,NGA",BoGD2025
D81,"Ngữ văn, Khoa học xã hội, Tiếng Nhật","VAN,KHXH,NHAT",BoGD2025
D82,"Ngữ văn, Khoa học xã hội, Tiếng Pháp","VAN,KHXH,PHAP",BoGD2025
D83,"Ngữ văn, Khoa học xã hội, Tiếng Trung","VAN,KHXH,TRUNG",BoGD2025
D84,"Toán, Giáo dục công dân, Tiếng Anh","TOAN,GDCD,ANH",BoGD2025
D85,"Toán, Giáo dục công dân, Tiếng Đức","TOAN,GDCD,DUC",BoGD2025
D86,"Toán, Giáo dục công dân, Tiếng Nga","TOAN,GDCD,NGA",BoGD2025
D87,"Toán, Giáo dục công dân, Tiếng Pháp","TOAN,GDCD,PHAP",BoGD2025
D88,"Toán, Giáo dục công dân, Tiếng Nhật","TOAN,GDCD,NHAT",BoGD2025
D89,"Toán, Giáo dục công dân, Tiếng Trung","TOAN,GDCD,TRUNG",BoGD2025
D90,"Toán, Khoa học tự nhiên, Tiếng Anh","TOAN,KHTN,ANH",BoGD2025
D91,"Toán, Khoa học tự nhiên, Tiếng Pháp","TOAN,KHTN,PHAP",BoGD2025
D92,"Toán, Khoa học tự nhiên, Tiếng Đức","TOAN,KHTN,DUC",BoGD2025
D93,"Toán, Khoa học tự nhiên, Tiếng Nga","TOAN,KHTN,NGA",BoGD2025
D94,"Toán, Khoa học tự nhiên, Tiếng Nhật","TOAN,KHTN,NHAT",BoGD2025
D95,"Toán, Khoa học tự nhiên, Tiếng Trung","TOAN,KHTN,TRUNG",BoGD2025
D96,"Toán, Khoa học xã hội, Tiếng Anh","TOAN,KHXH,ANH",BoGD2025
D97,"Toán, Khoa học xã hội, Tiếng Pháp","TOAN,KHXH,PHAP",BoGD2025
D98,"Toán, Khoa học xã hội, Tiếng Đức","TOAN,KHXH,DUC",BoGD2025
D99,"Toán, Khoa học xã hội, Tiếng Nga","TOAN,KHXH,NGA",BoGD2025
H00,"Ngữ văn, Năng khiếu vẽ NT 1, Năng khiếu vẽ NT 2","VAN,NK,NK",BoGD2025
H01,"Toán, Ngữ văn, Vẽ MT","TOAN,VAN,NK",BoGD2025
H02,"Toán, Tiếng Anh, Vẽ MT","TOAN,ANH,NK",BoGD2025
H03,"Toán, Khoa học tự nhiên, Vẽ MT","TOAN,KHTN,NK",BoGD2025
H04,"Toán, Tiếng Anh, Vẽ MT","TOAN,ANH,NK",BoGD2025
H05,"Ngữ Văn, Khoa học Xã hội, Vẽ MT","VAN,KHXH,NK",BoGD2025
H06,"Ngữ văn, Tiếng Anh, Vẽ MT","VAN,ANH,NK",BoGD2025
H07,"Toán, Năng khiếu vẽ NT 1, Năng khiếu vẽ NT 2","TOAN,NK,NK",BoGD2025
H08,"Ngữ văn, Lịch sử, Vẽ MT","VAN,SU,NK",BoGD2025
H09,"Ngữ Văn, Địa, Năng khiếu","VAN,DIA,NK",tuyensinh247
K00,"Toán, Vật lý, Kĩ thuật nghề","TOAN,LI,KT_NGHE",BoGD2025
K01,"Toán, Tiếng Anh, Tin học","TOAN,ANH,TIN",BoGD2025
M00,"Ngữ văn, Toán, Năng khiếu","VAN,TOAN,NK",BoGD2025
M01,"Ngữ văn, Sử, Năng khiếu","VAN,SU,NK",BoGD2025
M02,"Toán, KHXH, Năng khiếu","TOAN,KHXH,NK",BoGD2025
M03,"Ngữ văn, KHXH, Năng khiếu","VAN,KHXH,NK",BoGD2025
M04,"Toán, KHTN, Năng khiếu","TOAN,KHTN,NK",BoGD2025
M05,"Ngữ văn, Lịch sử, Năng khiếu","VAN,SU,NK",BoGD2025
M06,"Ngữ văn, Toán, Năng khiếu","VAN,TOAN,NK",BoGD2025
M07,"Ngữ văn, Địa lý, Năng khiếu","VAN,DIA,NK",BoGD2025
M08,"Tiếng Anh, NK1, NK2","ANH,NK,NK",BoGD2025
M09,"Toán, NK1, NK2","TOAN,NK,NK",BoGD2025
M10,"Toán, Tiếng Anh, NK","TOAN,ANH,NK",BoGD2025
M11,"Ngữ văn, Tiếng Anh, NK","VAN,ANH,NK",BoGD2025
M12,"Ngữ văn, Vật lý, NK","VAN,LI,NK",BoGD2025
M13,"Toán, Sinh, Năng khiếu Mầm non","TOAN,SINH,NK",BoGD2025
M14,"Toán, Địa lý, Năng khiếu Mầm non","TOAN,DIA,NK",BoGD2025
M26,"Ngữ văn, Địa, Năng khiếu","VAN,DIA,NK",BoGD2025
M27,"Ngữ văn, Anh, Năng khiếu","VAN,ANH,NK",BoGD2025
M28,"Ngữ văn, Công nghệ công nghiệp, Năng khiếu","VAN,CN_CN,NK",BoGD2025
M29,"Ngữ văn, Công nghệ nông nghiệp, Năng khiếu","VAN,CN_NN,NK",BoGD2025
M30,"Ngữ văn, Giáo dục Kinh tế và pháp luật, Năng khiếu","VAN,GDKTPL,NK",BoGD2025
N00,"Ngữ văn, Năng khiếu Âm nhạc 1, Năng khiếu Âm nhạc 2","VAN,NK,NK",BoGD2025
N01,"Toán, Năng khiếu Âm nhạc 1, Năng khiếu Âm nhạc 2","TOAN,NK,NK",BoGD2025
N02,"Ngữ văn, Ký xướng âm, Hát hoặc biểu diễn nhạc cụ","VAN,NK,NK",tuyensinh247
N03,"Ngữ văn, Tiếng Anh, NK âm nhạc","VAN,ANH,NK",BoGD2025
N04,"Ngữ văn, Năng khiếu thuyết trình, năng khiếu","VAN,NK,NK",BoGD2025
N05,"Ngữ văn, Xây dựng kịch bản sự kiện, Năng khiếu","VAN,NK,NK",BoGD2025
Q00,"Tư duy định lượng, Tư duy định tính, Khoa học/ Tiếng Anh","DGTD_DL,DGTD_DT,KHOAHOC_ANH",tuyensinh247
R00,"Ngữ văn, Lịch sử, Năng khiếu báo chí","VAN,SU,NK",BoGD2025
R01,"Ngữ văn, Địa lý, Năng khiếu nghệ thuật","VAN,DIA,NK",BoGD2025
R02,"Ngữ văn, Toán, Năng khiếu nghệ thuật","VAN,TOAN,NK",BoGD2025
R03,"Ngữ văn, tiếng Anh, Năng khiếu nghệ thuật","VAN,ANH,NK",BoGD2025
R04,"Ngữ văn, Năng khiếu nghệ thuật 1, Năng khiếu nghệ thuật 2","VAN,NK,NK",BoGD2025
S00,"Ngữ văn, NK SKĐA 1, NK SKĐA 2","VAN,NK,NK",BoGD2025
