ma_to_hop,ten_to_hop,cac_mon,nguon
T00,"Toán, Sinh học, Năng khiếu TDTT","TOAN,SINH,NK",BoGD2025
T01,"Toán, NK TDTT1, NK TDTT 2","TOAN,NK,NK",BoGD2025
T02,"Toán, Ngữ văn, Năng khiếu TDTT","TOAN,VAN,NK",BoGD2025
T03,"Ngữ văn, Sinh học, Năng khiếu TDTT","VAN,SINH,NK",BoGD2025
T04,"Toán, Vật lý, NKTDTT","TOAN,LI,NK",BoGD2025
T05,"Ngữ văn, Giáo dục công dân, NK TDTT","VAN,GDCD,NK",BoGD2025
T06,"Toán, Địa lý, NK TDTT","TOAN,DIA,NK",BoGD2025
T07,"Ngữ Văn, Địa lý, TK TDTT","VAN,DIA,NK",BoGD2025
T08,"Toán, GDKTPL, Năng khiếu Thể dục thể thao","TOAN,GDKTPL,NK",tuyensinh247
T09,"Ngữ văn, Lịch sử, năng khiếu thể dục thể thao","VAN,SU,NK",tuyensinh247
T10,"Toán, Vật lý, Năng khiếu Thể dục Thể thao","TOAN,LI,NK",tuyensinh247
V00,"Toán, Vật lý, Vẽ Mỹ thuật","TOAN,LI,NK",BoGD2025
V01,"Toán, Ngữ văn, Vẽ Mỹ thuật","TOAN,VAN,NK",BoGD2025
V02,"Toán, Tiếng Anh, Vẽ Mỹ thuật","TOAN,ANH,NK",BoGD2025
V03,"Toán, Hoá, Vẽ Mỹ thuật","TOAN,HOA,NK",BoGD2025
V04,"Toán, Ngữ văn, Bố Cục màu","TOAN,VAN,NK",BoGD2025
V05,"Ngữ Văn, Vật Lý, Vẽ Mỹ thuật","VAN,LI,NK",BoGD2025
V06,"Toán, Địa Lý, Vẽ Mỹ thuật","TOAN,DIA,NK",BoGD2025
V07,"Toán, Tiếng Đức, Vẽ Mỹ thuật","TOAN,DUC,NK",BoGD2025
V08,"Toán, Tiếng Nga, Vẽ Mỹ thuật","TOAN,NGA,NK",BoGD2025
V09,"Toán, Tiếng Nhật Vẽ Mỹ thuật","TOAN,NK",BoGD2025
V10,"Toán, Tiếng Pháp, Vẽ Mỹ thuật","TOAN,PHAP,NK",BoGD2025
V11,"Toán, Tiếng Trung Quốc, Vẽ Mỹ thuật","TOAN,TRUNG,NK",BoGD2025
X01,"Toán, Ngữ văn, Giáo dục Kinh tế và pháp luật","TOAN,VAN,GDKTPL",BoGD2025
X02,"Toán, Ngữ văn, Tin học","TOAN,VAN,TIN",BoGD2025
X03,"Toán, Ngữ văn, Công nghệ công nghiệp","TOAN,VAN,CN_CN",BoGD2025
X04,"Toán, Ngữ văn, Công nghệ nông nghiệp","TOAN,VAN,CN_NN",BoGD2025
X05,"Toán, Vật lý, Giáo dục Kinh tế và pháp luật","TOAN,LI,GDKTPL",BoGD2025
X06,"Toán, Vật lý, Tin học","TOAN,LI,TIN",BoGD2025
X07,"Toán, Vật lý, Công nghệ công nghiệp","TOAN,LI,CN_CN",BoGD2025
X08,"Toán, Vật lý, Công nghệ nông nghiệp","TOAN,LI,CN_NN",BoGD2025
X09,"Toán, Hóa học, Giáo dục Kinh tế và pháp luật","TOAN,HOA,GDKTPL",BoGD2025
X10,"Toán, Hóa học, Tin học","TOAN,HOA,TIN",BoGD2025
X11,"Toán, Hóa học, Công nghệ công nghiệp","TOAN,HOA,CN_CN",BoGD2025
X12,"Toán, Hóa học, Công nghệ nông nghiệp","TOAN,HOA,CN_NN",BoGD2025
X13,"Toán, Sinh học, Giáo dục Kinh tế và pháp luật","TOAN,SINH,GDKTPL",BoGD2025
X14,"Toán, Sinh học, Tin học","TOAN,SINH,TIN",BoGD2025
X15,"Toán, Sinh học, Công nghệ công nghiệp","TOAN,SINH,CN_CN",BoGD2025
X16,"Toán, Sinh học, Công nghệ nông nghiệp","TOAN,SINH,CN_NN",BoGD2025
X17,"Toán, Lịch sử, Giáo dục Kinh tế và pháp luật","TOAN,SU,GDKTPL",BoGD2025
X18,"Toán, Lịch sử, Tin học","TOAN,SU,TIN",BoGD2025
X19,"Toán, Lịch sử, Công nghệ công nghiệp","TOAN,SU,CN_CN",BoGD2025
X20,"Toán, Lịch sử, Công nghệ nông nghiệp","TOAN,SU,CN_NN",BoGD2025
X21,"Toán, Địa lý, Giáo dục Kinh tế và pháp luật","TOAN,DIA,GDKTPL",BoGD2025
X22,"Toán, Địa lý, Tin học","TOAN,DIA,TIN",BoGD2025
X23,"Toán, Địa lý, Công nghệ công nghiệp","TOAN,DIA,CN_CN",BoGD2025
X24,"Toán, Địa lý, Công nghệ nông nghiệp","TOAN,DIA,CN_NN",BoGD2025
X25,"Toán, Giáo dục Kinh tế và pháp luật, Tiếng Anh","TOAN,GDKTPL,ANH",BoGD2025
X26,"Toán, Tin học, Tiếng Anh","TOAN,TIN,ANH",BoGD2025
X27,"Toán, Công nghệ công nghiệp, Tiếng Anh","TOAN,CN_CN,ANH",BoGD2025
X28,"Toán, Công nghệ nông nghiệp, Tiếng Anh","TOAN,CN_NN,ANH",BoGD2025
X29,"Toán, Giáo dục Kinh tế và pháp luật, Tiếng Nga","TOAN,GDKTPL,NGA",BoGD2025
X30,"Toán, Tin học, Tiếng Nga","TOAN,TIN,NGA",BoGD2025
X31,"Toán, Công nghệ công nghiệp, Tiếng Nga","TOAN,CN_CN,NGA",BoGD2025
X32,"Toán, Công nghệ nông nghiệp, Tiếng Nga","TOAN,CN_NN,NGA",BoGD2025
X33,"Toán, Giáo dục Kinh tế và pháp luật, Tiếng Pháp","TOAN,GDKTPL,PHAP",BoGD2025
X34,"Toán, Tin học, Tiếng Pháp","TOAN,TIN,PHAP",BoGD2025
X35,"Toán, Công nghệ công nghiệp, Tiếng Pháp","TOAN,CN_CN,PHAP",BoGD2025
X36,"Toán, Công nghệ nông nghiệp, Tiếng Pháp","TOAN,CN_NN,PHAP",BoGD2025
X37,"Toán, Giáo dục Kinh tế và pháp luật, Tiếng Trung","TOAN,GDKTPL,TRUNG",BoGD2025
X38,"Toán, Tin học, Tiếng Trung","TOAN,TIN,TRUNG",BoGD2025
X39,"Toán, Công nghệ công nghiệp, Tiếng Trung","TOAN,CN_CN,TRUNG",BoGD2025
X40,"Toán, Công nghệ nông nghiệp, Tiếng Trung","TOAN,CN_NN,TRUNG",BoGD2025
X41,"Toán, Giáo dục Kinh tế và pháp luật, Tiếng Đức","TOAN,GDKTPL,DUC",BoGD2025
