SO TRUONG THIEU: 112
QSX   | Trường Đại Học Khoa Học Xã Hội và Nhân Văn TPHCM | TP Hồ Chí Minh
QSY   | Trường Đại học Khoa học sức khỏe TPHCM | TP Hồ Chí Minh
SNH   | Trường Sĩ Quan Công Binh - Hệ Quân sự - Đại học Ngô Quyền | TP Hồ Chí Minh
STS   | Trường Đại Học Sư Phạm Thể Dục Thể Thao TPHCM | TP Hồ Chí Minh
TBD   | Trường Đại Học Thái Bình Dương | Khánh Hòa
TDD   | Trường Đại học Thành Đô | Hà Nội
TDS   | Trường Đại Học Thể Dục Thể Thao TPHCM | TP Hồ Chí Minh
THP   | Trường Đại Học Hải Phòng | Hải Phòng
THU   | Trường Đại học Y khoa Tokyo Việt Nam | Hưng Yên
THV   | Trường Đại Học Hùng Vương | Phú Thọ
TQU   | Trường Đại học Tân Trào | Tuyên Quang
TTU   | Trường Đại học Tân Tạo | Tây Ninh
UEF   | Trường Đại Học Kinh Tế Tài Chính TPHCM | TP Hồ Chí Minh
UFA   | Trường Đại học Tài Chính Kế Toán | Quảng Ngãi
UKH   | Trường Đại học Khánh Hòa | Khánh Hòa
UMT   | Trường Đại học Quản lý và công nghệ TPHCM | TP Hồ Chí Minh
VHH   | Trường Đại Học Văn Hóa Hà Nội | Hà Nội
VJU   | Trường Đại học Việt Nhật - ĐHQG Hà Nội | Hà Nội
VKU   | Trường Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng | Đà Nẵng
VTT   | Trường Đại Học Võ Trường Toản | Cần Thơ
XDN   | Phân hiệu Đại học Xây dựng miền Trung tại Đà Nẵng | Đắk Lắk
XDT   | Trường Đại Học Xây Dựng Miền Trung | Đắk Lắk
YCT   | Trường Đại Học Y Dược Cần Thơ | Cần Thơ
YDS   | Đại Học Y Dược TPHCM | TP Hồ Chí Minh
YHB   | Trường Đại Học Y Hà Nội | Hà Nội
YKV   | Trường Đại Học Y Khoa Vinh | Nghệ An
YPB   | Trường Đại Học Y Dược Hải Phòng | Hải Phòng
YQH   | Học Viện Quân Y - Hệ Quân sự | Hà Nội
YTC   | Trường Đại Học Y Tế Công Cộng | Hà Nội
